"LA code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"621","Southend-on-Sea","578","240","338","324.84502419477212","275.17886626307103","372.59549137408368",2016
"609","Suffolk","7365","2775","4590","997.27560283380637","761.59267553681991","1226.8003763256927",2016
"622","Thurrock","2174","747","1426","1331.5367183193482","928.82721575649055","1721.2659633536923",2016
"H","London","44893","15370","29513","525.75986782045811","363.01206961990488","685.60423911705197",2016
"714","Cityof London","26","9","17","322.10109018830525","199.95556542990448","476.05712685522263",2016
"716","Barking and Dagenham","1226","434","792","618.27387616367616","447.7966136670828","781.25770653514178",2016
"717","Barnet","1626","640","985","433.69830494912185","347.71836985281732","516.09049659956622",2016
"718","Bexley","1327","568","759","553.22785733641842","491.46426933626367","610.65877128053296",2016
"719","Brent","3015","962","2053","939.94924585829983","592.24783293932228","1296.65887702899",2016
"720","Bromley","953","362","591","296.6278425538008","234.47418193123818","354.12547186769729",2016
"702","Camden","1097","444","653","467.11461979339651","380.16627993595398","553.13201473889285",2016
"721","Croydon","1345","427","918","357.67471545580258","233.94824648392768","474.36712294789709",2016
"722","Ealing","2316","753","1563","676.95941166498108","438.5939365698809","917.07591839608529",2016
"723","Enfield","2547","1007","1537","784.72089569712921","638.31540514328822","921.3799718250757",2016
"703","Greenwich","1287","469","818","479.01205160080099","348.41134825534317","610.1426898491053",2016
"704","Hackney","1897","523","1374","720.88162644879344","400.11322515740596","1037.4744218005542",2016
"705","Hammersmith and Fulham","566","222","344","317.32682981526642","254.38003460485155","377.63189672206732",2016
"724","Haringey","1650","550","1100","616.72790338677055","410.1783903108406","824.26022644676402",2016
"725","Harrow","2308","801","1507","938.1694314481872","655.67060942168382","1216.8338097314406",2016
"726","Havering","1451","626","825","589.89974550155705","529.63323321629503","645.64599816871316",2016
"727","Hillingdon","2428","660","1768","829.54661929003373","451.99906860797984","1205.4107123377332",2016
"728","Hounslow","1080","385","695","406.6755030726593","286.51589232956024","529.74579823926217",2016
"706","Islington","1667","527","1140","754.19626295073067","478.86018554696369","1027.2398785333896",2016
